,survived,pclass,sex,age,sibsp,parch,fare,adult_male,alone
721,0,3,1,17.0,1,0,7.0542,1,1
722,0,2,1,34.0,0,0,13.0,1,1
723,0,2,1,50.0,0,0,13.0,1,1
724,1,1,1,27.0,1,0,53.1,1,1
725,0,3,1,20.0,0,0,8.6625,1,1
726,1,2,0,30.0,3,0,21.0,0,0
728,0,2,1,25.0,1,0,26.0,1,1
729,0,3,0,25.0,1,0,7.925,0,0
730,1,1,0,29.0,0,0,211.3375,0,0
731,0,3,1,11.0,0,0,18.7875,1,1
733,0,2,1,23.0,0,0,13.0,1,1
734,0,2,1,23.0,0,0,13.0,1,1
735,0,3,1,28.5,0,0,16.1,1,1
736,0,3,0,48.0,1,3,34.375,0,0
737,1,1,1,35.0,0,0,512.3292,1,1
741,0,1,1,36.0,1,0,78.85,1,1
742,1,1,0,21.0,2,2,262.375,0,0
743,0,3,1,24.0,1,0,16.1,1,1
744,1,3,1,31.0,0,0,7.925,1,1
745,0,1,1,70.0,1,1,71.0,1,1
746,0,3,1,16.0,1,1,20.25,1,1
747,1,2,0,30.0,0,0,13.0,0,0
748,0,1,1,19.0,1,0,53.1,1,1
749,0,3,1,31.0,0,0,7.75,1,1
750,1,2,0,4.0,1,1,23.0,0,0
751,1,3,1,6.0,0,1,12.475,1,1
752,0,3,1,33.0,0,0,9.5,1,1
753,0,3,1,23.0,0,0,7.8958,1,1
754,1,2,0,48.0,1,2,65.0,0,0
755,1,2,1,0.67,1,1,14.5,1,1
756,0,3,1,28.0,0,0,7.7958,1,1
757,0,2,1,18.0,0,0,11.5,1,1
758,0,3,1,34.0,0,0,8.05,1,1
759,1,1,0,33.0,0,0,86.5,0,0
761,0,3,1,41.0,0,0,7.125,1,1
762,1,3,1,20.0,0,0,7.2292,1,1
763,1,1,0,36.0,1,2,120.0,0,0
764,0,3,1,16.0,0,0,7.775,1,1
765,1,1,0,51.0,1,0,77.9583,0,0
767,0,3,0,30.5,0,0,7.75,0,0
769,0,3,1,32.0,0,0,8.3625,1,1
770,0,3,1,24.0,0,0,9.5,1,1
771,0,3,1,48.0,0,0,7.8542,1,1
772,0,2,0,57.0,0,0,10.5,0,0
774,1,2,0,54.0,1,3,23.0,0,0
775,0,3,1,18.0,0,0,7.75,1,1
777,1,3,0,5.0,0,0,12.475,0,0
779,1,1,0,43.0,0,1,211.3375,0,0
780,1,3,0,13.0,0,0,7.2292,0,0
781,1,1,0,17.0,1,0,57.0,0,0
782,0,1,1,29.0,0,0,30.0,1,1
784,0,3,1,25.0,0,0,7.05,1,1
785,0,3,1,25.0,0,0,7.25,1,1
786,1,3,0,18.0,0,0,7.4958,0,0
787,0,3,1,8.0,4,1,29.125,1,1
788,1,3,1,1.0,1,2,20.575,1,1
789,0,1,1,46.0,0,0,79.2,1,1
791,0,2,1,16.0,0,0,26.0,1,1
794,0,3,1,25.0,0,0,7.8958,1,1
795,0,2,1,39.0,0,0,13.0,1,1
796,1,1,0,49.0,0,0,25.9292,0,0
797,1,3,0,31.0,0,0,8.6833,0,0
798,0,3,1,30.0,0,0,7.2292,1,1
799,0,3,0,30.0,1,1,24.15,0,0
800,0,2,1,34.0,0,0,13.0,1,1
801,1,2,0,31.0,1,1,26.25,0,0
802,1,1,1,11.0,1,2,120.0,1,1
803,1,3,1,0.42,0,1,8.5167,1,1
804,1,3,1,27.0,0,0,6.975,1,1
805,0,3,1,31.0,0,0,7.775,1,1
806,0,1,1,39.0,0,0,0.0,1,1
807,0,3,0,18.0,0,0,7.775,0,0
808,0,2,1,39.0,0,0,13.0,1,1
809,1,1,0,33.0,1,0,53.1,0,0
810,0,3,1,26.0,0,0,7.8875,1,1
811,0,3,1,39.0,0,0,24.15,1,1
812,0,2,1,35.0,0,0,10.5,1,1
813,0,3,0,6.0,4,2,31.275,0,0
814,0,3,1,30.5,0,0,8.05,1,1
816,0,3,0,23.0,0,0,7.925,0,0
817,0,2,1,31.0,1,1,37.0042,1,1
818,0,3,1,43.0,0,0,6.45,1,1
819,0,3,1,10.0,3,2,27.9,1,1
820,1,1,0,52.0,1,1,93.5,0,0
821,1,3,1,27.0,0,0,8.6625,1,1
822,0,1,1,38.0,0,0,0.0,1,1
823,1,3,0,27.0,0,1,12.475,0,0
824,0,3,1,2.0,4,1,39.6875,1,1
827,1,2,1,1.0,0,2,37.0042,1,1
829,1,1,0,62.0,0,0,80.0,0,0
830,1,3,0,15.0,1,0,14.4542,0,0
831,1,2,1,0.83,1,1,18.75,1,1
833,0,3,1,23.0,0,0,7.8542,1,1
834,0,3,1,18.0,0,0,8.3,1,1
835,1,1,0,39.0,1,1,83.1583,0,0
836,0,3,1,21.0,0,0,8.6625,1,1
838,1,3,1,32.0,0,0,56.4958,1,1
840,0,3,1,20.0,0,0,7.925,1,1
841,0,2,1,16.0,0,0,10.5,1,1
842,1,1,0,30.0,0,0,31.0,0,0
843,0,3,1,34.5,0,0,6.4375,1,1
844,0,3,1,17.0,0,0,8.6625,1,1
845,0,3,1,42.0,0,0,7.55,1,1
847,0,3,1,35.0,0,0,7.8958,1,1
848,0,2,1,28.0,0,1,33.0,1,1
850,0,3,1,4.0,4,2,31.275,1,1
851,0,3,1,74.0,0,0,7.775,1,1
852,0,3,0,9.0,1,1,15.2458,0,0
853,1,1,0,16.0,0,1,39.4,0,0
854,0,2,0,44.0,1,0,26.0,0,0
855,1,3,0,18.0,0,1,9.35,0,0
856,1,1,0,45.0,1,1,164.8667,0,0
857,1,1,1,51.0,0,0,26.55,1,1
858,1,3,0,24.0,0,3,19.2583,0,0
860,0,3,1,41.0,2,0,14.1083,1,1
861,0,2,1,21.0,1,0,11.5,1,1
862,1,1,0,48.0,0,0,25.9292,0,0
864,0,2,1,24.0,0,0,13.0,1,1
865,1,2,0,42.0,0,0,13.0,0,0
866,1,2,0,27.0,1,0,13.8583,0,0
867,0,1,1,31.0,0,0,50.4958,1,1
869,1,3,1,4.0,1,1,11.1333,1,1
870,0,3,1,26.0,0,0,7.8958,1,1
871,1,1,0,47.0,1,1,52.5542,0,0
872,0,1,1,33.0,0,0,5.0,1,1
873,0,3,1,47.0,0,0,9.0,1,1
874,1,2,0,28.0,1,0,24.0,0,0
875,1,3,0,15.0,0,0,7.225,0,0
876,0,3,1,20.0,0,0,9.8458,1,1
877,0,3,1,19.0,0,0,7.8958,1,1
879,1,1,0,56.0,0,1,83.1583,0,0
880,1,2,0,25.0,0,1,26.0,0,0
881,0,3,1,33.0,0,0,7.8958,1,1
882,0,3,0,22.0,0,0,10.5167,0,0
883,0,2,1,28.0,0,0,10.5,1,1
884,0,3,1,25.0,0,0,7.05,1,1
885,0,3,0,39.0,0,5,29.125,0,0
886,0,2,1,27.0,0,0,13.0,1,1
887,1,1,0,19.0,0,0,30.0,0,0
889,1,1,1,26.0,0,0,30.0,1,1
890,0,3,1,32.0,0,0,7.75,1,1
